IYYA.F, Investec Group
ENI1.F, Eni Energy Group Holdings Limited
AEG, Aegon Ltd.
N7I.F, Apollo Global Management
R3NK.F, RENK GMBH
AEDAS.MC, Aedas Homes
AT1.F, Aroundtown SA
ASG.F, Assicurazioni Generali
9FZ.F, Sysam AB
NXS.F, Nexans SA
MTJ3.F, KME Group
IJU.F, Intrum AB
TCHC, Technicolor Creative Studios
JBT.BE, John Bean Technologies Corp
MMB.PA, Lagardere SA
8TI.F, Stellantis N.V.
ING, Ingenico Group
TELIA.ST, Telia Company AB
UMGNF, Univesal Music Group
DTG.DE, Daimler Truck
VIV.PA, Vivendi SE
9M1.F, Zabka Polska SP. Z.O.O
AMBP, Ardagh Glass Inc
KGF.L, Kingfisher PLC
TKO.PA, Tikehau Capital Advisors
SBSW, Sibanye Stillwater Limited
EQT.ST, EQT AB
21E.F, Elior Group
CPR.MI, Davide Campari-Milano NV
VIRI.PA, Viridien
ZMM.F, Maisons Du Monde
SBBDS.XC, Samhallsbyggnadsbolaget I Norden AB
P911.DE, Dr. Ing. h.c. F. Porsche AG
TQI1.F, Telecom Italia Mobile SPA
SYAB.VI, Synlab AG
AF.PA, Air France-KLM SA
XXT.BE, Olympique Lyonnais
ESLOY, EssilorLuxottica
OR.PA, Loreal SA
IFX.DE, Infineon Technologies AG
OT7.F, Ontex Group NV
INPSTA.XC, InPost SA
UEN.F, Ubisoft Entertainment SA
7U7.F, OVH Groupe SA
MBG.DE, Mercedes-Benz Group AG
E, Eni SPA
TTE, TotalEnergies SE
UBLB.F, Unibail-Rodamco-Westfield SE
KPR.BE, Klepierre
PER.MU, Pernod Ricard SA
SIE.DE, Siemens Aktiengesellschaft
VLA.SG, Voltalia SA
QS30.F, Solocal Group SA
SDXAY, Sodexo SA
2R6.SG, Azelis Finance
8TRA.F, Traton SE
VRVIAP.XD, Forvia SE
CRRFY, Carrefour SA
ENEL.MI, Enel SPA
MC.PA, LVMH Moet Hennessy Louis Vuitton
EDP.LS, EDP SA
WIS.F, Wendel
CAPMF, Capgemini
9421.T, NJJ Holdings
TNU3.F, Getlink SE
BMW.DE, Bayerische Motoren Werke Aktiengesellschaft
BNJ.AS, Banijay Group NV
EUQ.F, Eurazeo SE
ETL.PA, Eutelsat SA
FTE.F, Orange SA
CAJ1.F, Casino Guichard-Perrachon SA
SNM.F, Snam SPA
VOLCBS.XC, Volvo Car AB
LTMC.MI, Lottomatica SPA
DSY.PA, Dassault Systemes
1WE.BE, La Francaise Des Jeux SA
PRYMY, Prysmian SPA
WBD.MI, Webuild SPA
AI.PA, L'Air Liquide SA
CODYY, Copagnie De Saint-Gobain




